model,price,year,mileage,vol_engine,Power
scenic,29841.782820097244,2011.6645056726095,163315.88978930307,1555.157212317666,120.6482982171799
scirocco,35147.2,2010.0166666666667,186578.35833333334,1654.4416666666666,165.275
seria-1,48368.71582435791,2011.6445733222868,158183.67605633804,1840.0074565037282,145.23529411764707
seria-2,143940.10144927536,2019.2512077294687,55704.432367149755,1843.4492753623188,176.93236714975845
seria-3,77790.20751822018,2012.710395090142,163738.97276563098,2130.8810893747604,185.70655926352129
seria-4,162994.9416058394,2017.5547445255474,80403.44282238443,2250.007299270073,246.9294403892944
seria-5,114125.50429585356,2013.6869630183041,171441.4755323123,2392.090026148674,225.8972730668659
seria-6,119664.89873417722,2012.0886075949368,141359.55063291139,3534.3860759493673,341.8607594936709
seria-7,284629.5735056543,2015.6558966074313,120185.0646203554,3485.8287560581584,352.4571890145396
seria-8,514315.0722891566,2020.6746987951808,16463.963855421687,3787.5060240963853,449.6385542168675
sharan,54213.885714285716,2011.4457142857143,214741.67428571428,1926.8628571428571,148.55428571428573
sienna,122756.58064516129,2016.3548387096773,88053.06451612903,3293.5,261.7741935483871
signum,13429.910447761195,2006.3432835820895,232490.1791044776,2073.776119402985,154.86567164179104
sl,235116.43859649124,2010.298245614035,90709.22807017544,4818.315789473684,410.70175438596493
slk-klasa,65977.41304347826,2008.9782608695652,123162.32608695653,2143.695652173913,196.43478260869566
sorento,94310.15492957746,2013.8098591549297,140392.54225352113,2268.1971830985917,190.29577464788733
soul,46218.265957446805,2013.0425531914893,138907.25531914894,1371.5851063829787,135.93617021276594
space-star,48727.43859649123,2019.6140350877192,21032.385964912282,1143.5555555555557,72.25146198830409
sportage,70864.31468023256,2014.8161337209303,117388.65552325582,1735.4469476744187,142.38008720930233
sprinter,112145.54385964913,2013.561403508772,227721.01754385966,2269.280701754386,153.56140350877192
sq5,281965.170212766,2018.7978723404256,61176.98936170213,2974.7978723404253,339.5425531914894
stinger,158119.88888888888,2019.0,43251.90476190476,2917.1428571428573,328.42857142857144
stonic,73289.75833333333,2019.8916666666667,28290.816666666666,1141.925,99.6
